App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Apple_Store_Rating,Apple_Store_Reviews,Apple_Store_Price
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-18,1.7.1,4.0 and up,0.0,,,
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4 and up,0.0,,,
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,0.0,,,
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201.0,100000,Free,0.0,Everyone,Auto & Vehicles,2014-08-26,1.0.1,2.2 and up,0.0,,,
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4 and up,0.0,,,
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-08,1.9.1,4.0.3 and up,0.0,,,
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,0.241125992063492,,,
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-28,2.20 Build 02,4.1 and up,0.0,,,
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0 and up,0.3085747474747474,,,
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,0.2956603213254998,,,
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0.2.1,4.4 and up,0.0,,,
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3 and up,0.0,,,
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-16,4.47.3,4.0.3 and up,0.0,,,
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0.3 and up,0.0,,,
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,2.2.21,4.2 and up,0.0,,,
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000,Free,0.0,Teen,Auto & Vehicles,2018-07-11,Varies with device,5.0 and up,0.2877923040754261,,,
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0 and up,0.0,,,
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0 and up,0.0,,,
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-08,2.3.5.1,4.1 and up,0.0,,,
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0 and up,0.0,,,
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1 and up,-0.1333333333333332,,,
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1 and up,0.0,,,
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-24,1.1.5.0,6.0 and up,0.0,,,
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,10.0.2,4.2 and up,0.0,,,
Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,1.10.3,5.0 and up,0.0,,,
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0.3 and up,0.0,,,
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,3.20.1,4.4 and up,0.0,,,
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3 and up,0.3076986076986077,,,
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0.3 and up,0.0,,,
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-16,2.8.2,4.1 and up,0.0,,,
SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0.3,4.0.3 and up,0.0,,,
auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.40,4.0.3 and up,0.0,,,
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.5.18,4.0.3 and up,0.0,,,
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-06-02,2.3.4,4.0 and up,0.0,,,
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto & Vehicles,2018-03-20,1.03,4.0.3 and up,0.0,,,
Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto & Vehicles,2018-04-21,2.17,4.0 and up,0.0,,,
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,500000,Free,0.0,Everyone,Beauty,2018-08-02,6.10.1,5.0 and up,0.0,,,
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,1000000,Free,0.0,Everyone,Beauty,2017-11-09,2.3.0,4.1 and up,0.0,,,
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty,2018-05-15,4.0,4.1 and up,0.0,,,
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.0.6,4.0.3 and up,-0.0379858104858104,,,
Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1 and up,0.0,,,
Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000,Free,0.0,Everyone,Beauty,2018-07-25,1.9,4.0.3 and up,0.4709130658436213,,,
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000,Free,0.0,Everyone,Beauty,2018-05-10,1.1.0,4.0 and up,0.0991203703703703,,,
Tie - Always be happy,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty,2018-06-21,4.0,4.2 and up,0.0,,,
Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,10000,Free,0.0,Everyone,Beauty,2018-06-26,1.3,4.0.3 and up,0.0,,,
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35.0,100000,Free,0.0,Everyone,Beauty,2018-06-02,2.0.0,4.0 and up,0.0,,,
Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty,2018-07-26,6.0,4.0 and up,0.0,,,
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30.0,50000,Free,0.0,Teen,Beauty,2018-07-24,3.0.1,4.0.3 and up,0.0,,,
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty,2018-04-09,3.3.9,4.0.3 and up,0.0,,,
Photo Editor 2018,BEAUTY,4.5,134,17.0,10000,Free,0.0,Everyone,Beauty,2018-03-01,1.20,4.0.3 and up,0.0,,,
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty,2018-04-05,2.3.09,4.0.3 and up,0.0,,,
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty,2017-11-21,1.4.2,4.0 and up,0.0,,,
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,2017-10-18,1.0.0,4.0.3 and up,0.0,,,
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty,2018-05-29,1.0,4.0 and up,0.0,,,
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57.0,1000000,Free,0.0,Everyone,Beauty,2018-07-24,18.5,5.0 and up,0.0,,,
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22.0,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.1.0,4.0.3 and up,0.0,,,
Filters for B Live,BEAUTY,4.4,2280,24.0,500000,Free,0.0,Everyone,Beauty,2018-05-14,1.1.0,4.0 and up,0.1680176767676768,,,
Facial Wrinkle Reduction,BEAUTY,4.6,184,21.0,10000,Free,0.0,Everyone,Beauty,2018-07-02,1.5,4.1 and up,0.0,,,
Makeup Videos,BEAUTY,3.8,9,3.4,5000,Free,0.0,Everyone,Beauty,2018-06-07,1.0,4.0 and up,0.0,,,
Discover Color,BEAUTY,4.0,364,6.4,100000,Free,0.0,Everyone,Beauty,2018-05-24,1.1,4.0.3 and up,0.0,,,
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000,Free,0.0,Everyone,Beauty,2018-06-01,1.2.13,4.0.3 and up,0.0,,,
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty,2017-03-01,1.0.2.0,1.6 and up,0.4306034482758621,,,
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000,Free,0.0,Everyone,Beauty,2018-04-05,3.1.89,4.0.3 and up,0.0,,,
Rainbow Camera,BEAUTY,3.7,3871,23.0,1000000,Free,0.0,Everyone,Beauty,2018-07-30,2.2.0,4.0 and up,0.0,,,
Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty,2017-08-07,1.0,4.0.3 and up,0.0,,,
Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000,Free,0.0,Everyone,Beauty,2018-05-28,1.9.2,4.0.3 and up,0.0,,,
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0.0,Everyone,Books & Reference,2018-08-03,1.3.2,4.4 and up,0.0,,,
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,Books & Reference,2017-07-31,1.1,4.0 and up,0.0,,,
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books & Reference,2018-03-27,2.1,4.1 and up,0.25,,,
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0.0,Teen,Books & Reference,2018-06-06,3.2.1,4.0 and up,0.0,,,
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0.0,Everyone,Books & Reference,2018-01-21,1.0,4.0 and up,0.0,,,
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000,Free,0.0,Teen,Books & Reference,2018-08-01,2.0.075,4.0.3 and up,0.0,,,
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0.0,Everyone,Books & Reference,2018-05-27,1.911805270,2.3 and up,0.2455511849261849,,,
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13.0,100000,Free,0.0,Everyone,Books & Reference,2018-07-17,1.0,4.0.3 and up,0.0,,,
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0.0,Everyone,Books & Reference,2018-07-11,9.1.363,4.1 and up,0.0,,,
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0.0,Everyone,Books & Reference,2018-08-04,1.1.6,4.0.3 and up,0.0,,,
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000,Free,0.0,Everyone,Books & Reference,2018-07-20,2.3.18,4.1 and up,0.2093258302268719,,,
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19.0,1000000,Free,0.0,Everyone,Books & Reference,2018-04-27,2.2.5,4.1 and up,0.0,,,
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0.0,Everyone,Books & Reference,2018-05-17,15.0,2.3 and up,0.0,,,
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21.0,1000000,Free,0.0,Everyone,Books & Reference,2018-06-02,18.05.31+530,4.1 and up,0.0,,,
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37.0,5000000,Free,0.0,Everyone,Books & Reference,2018-06-25,5.0.6,4.0 and up,0.3425324877668627,,,
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15.0,100000,Free,0.0,Teen,Books & Reference,2018-07-04,1.2.3,4.0 and up,0.0,,,
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23.0,5000000,Free,0.0,Mature 17+,Books & Reference,2018-06-29,3.12,4.1 and up,0.0,,,
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19.0,500000,Free,0.0,Everyone,Books & Reference,2017-11-23,2.0,4.0.3 and up,0.0,,,
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23.0,1000000,Free,0.0,Everyone,Books & Reference,2018-06-20,1.28,3.0 and up,0.0,,,
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73.0,500000,Free,0.0,Everyone,Books & Reference,2018-08-01,6.0.8,4.0.3 and up,0.0,,,
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0.0,Mature 17+,Books & Reference,2014-10-16,1.0.3,2.1 and up,0.0,,,
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0.0,Everyone,Books & Reference,2018-07-11,1.9,4.4 and up,0.354636544011544,,,
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0.0,Everyone,Books & Reference,2018-03-31,14.0,4.0 and up,0.0,,,
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0.0,Everyone,Books & Reference,2018-05-28,6.0,4.0.3 and up,0.0,,,
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0,100000,Free,0.0,Everyone,Books & Reference,2016-08-20,3.05,4.0.3 and up,0.0,,,
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21.0,50000,Free,0.0,Everyone,Books & Reference,2018-07-17,2.0,3.0 and up,0.0,,,
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0.0,Everyone,Books & Reference,2018-06-16,1.5,3.0 and up,0.0,,,
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000,Free,0.0,Everyone,Books & Reference,2018-07-28,2.5.3,4.0 and up,0.3935134237107921,,,
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0.0,Everyone,Books & Reference,2018-07-19,7.0.4.6,4.2 and up,0.3404504504504504,,,
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0.0,Everyone,Books & Reference,2018-07-29,1.15,4.0.3 and up,0.3927835497835498,,,
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000,Free,0.0,Everyone,Books & Reference,2018-02-15,3.1.7.9,2.2 and up,0.2426242236024844,,,
English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30.0,10000000,Free,0.0,Everyone 10+,Books & Reference,2018-03-20,3.9.1,4.2 and up,0.0,,,
ADP Mobile Solutions,BUSINESS,4.3,85185,29.0,5000000,Free,0.0,Everyone,Business,2018-07-17,3.4.2,5.0 and up,0.0,,,
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35.0,100000000,Free,0.0,Everyone,Business,2018-08-02,9.7.14188,4.1 and up,0.0,4.77,14123.0,0.0
USPS MOBILE®,BUSINESS,3.9,16589,9.1,1000000,Free,0.0,Everyone,Business,2018-06-14,4.9.10,4.0.3 and up,0.0,,,
Job Search by ZipRecruiter,BUSINESS,4.8,148945,25.0,1000000,Free,0.0,Everyone,Business,2018-07-19,5.2.8,5.0 and up,0.0,,,
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9,500000,Free,0.0,Everyone,Business,2018-07-08,3.3,4.1 and up,0.3937034821903243,,,
Google Primer,BUSINESS,4.4,62272,18.0,10000000,Free,0.0,Everyone,Business,2018-06-26,3.550.2,4.1 and up,0.75,,,
Alba Heaven - Alvarez Job Portal Services,BUSINESS,4.0,8941,12.0,5000000,Free,0.0,Everyone,Business,2018-07-31,4.6.30,4.0.3 and up,0.0,,,
SuperLivePro,BUSINESS,4.3,46353,21.0,1000000,Free,0.0,Everyone,Business,2016-04-13,2.8,1.5 and up,0.0,,,
